awards,budget,openingwknd,metacritic,locs,release_date,gross,nudity_score,violence_score,profanity_score,alcohol_score,frightening_score,year,month,cci,sequel
9.0,118319838.05668016,30275284.63562753,62.0,7.0,1994-06-17,109888704.45344128,1,7,1,1,2,1994,"(6, 1994)",100.515,0
7.0,5569141.840818142,58551933.48821698,59.0,3.0,2011-10-21,115846869.33748332,3,7,1,1,10,2011,"(10, 2011)",97.01916,1
15.0,22351816.443594646,10145467.131931167,65.0,11.0,1996-12-20,164520006.89292544,5,10,6,2,1,1996,"(12, 1996)",101.275,0
8.0,168706456.10775658,47072324.12912215,31.0,12.0,2008-08-01,119248443.51137948,3,6,2,1,4,2008,"(8, 2008)",97.25879,1
32.0,29087320.01857873,53691174.05016256,64.0,9.0,2008-01-18,93135775.50627032,7,29,2,2,8,2008,"(1, 2008)",98.66032,0
34.0,98896888.06316766,40186011.64653971,78.0,8.0,2008-07-11,88140013.16767299,0,11,1,1,1,2008,"(7, 2008)",97.00549000000001,1
2.0,12565722.24802601,34967559.11286577,20.0,1.0,2008-10-24,66024457.19693451,1,15,1,2,2,2008,"(10, 2008)",96.98624000000001,1
16.0,37457943.92523364,51389711.34579439,63.0,17.0,1997-12-12,158202535.20560747,3,4,1,1,4,1997,"(12, 1997)",102.1532,1
10.0,26532710.28037383,24688913.224299066,52.0,38.0,1997-10-17,113288639.04672895,2,10,2,3,4,1997,"(10, 1997)",102.2024,0
16.0,70233644.85981308,25941010.55140187,37.0,9.0,1997-04-11,102831056.90654203,5,13,1,1,0,1997,"(4, 1997)",101.7336,0
79.0,24045736.87182383,19929604.607566345,74.0,7.0,2001-08-10,136527007.86843592,1,3,1,1,7,2001,"(8, 2001)",100.2345,0
12.0,5130568.356374809,40692656.55913978,40.0,1.0,2005-10-28,111641122.54224268,3,13,1,2,2,2005,"(10, 2005)",99.10257,1
13.0,64132104.45468509,44976148.840245776,44.0,8.0,2005-03-18,97777408.47158216,1,20,4,1,3,2005,"(3, 2005)",100.5859,1
12.0,128264208.90937018,43128079.6390169,50.0,15.0,2005-02-18,97450243.67127496,4,7,5,2,2,2005,"(2, 2005)",100.8117,0
13.0,25652841.78187404,38548910.13824885,46.0,4.0,2005-09-09,96291089.23195083,1,5,1,2,5,2005,"(9, 2005)",99.33213,0
